assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,15,None,None,1,153256,None,,0,0,0,0,3.8,102,63,None,,0,3,1.5,2.0,3,Mohamed Naser,3.0,0,0,3.2,88,42,526,False,10.6,119,44,90,,None,45,0,0,None,0,,153256.jpg,3.0,0,0,El Sayed Elneny,1.2,False,None,a,1,3,18.0,55,28,3,54721,54721,13455,13455,0.7,0.7,Elneny,0
0,0,0,None,None,0,113534,None,,0,0,0,0,0.0,210,9,None,,0,1,1.5,2.0,0,Matt,0.0,0,0,0.0,229,25,527,False,0.0,221,25,0,,None,40,0,0,None,0,,113534.jpg,0.0,0,0,Macey,0.2,False,None,a,1,3,0.0,144,9,0,4680,4680,995,995,0.0,0.0,Macey,0
0,0,0,0,0,0,21205,None,,0,0,0,0,0.0,236,15,None,,0,1,0.0,0.0,0,Tom,0.0,0,0,0.0,255,31,28,False,0.0,247,31,0,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,0,0,None,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,None,i,2,7,0.0,173,15,0,154,154,367,367,0.0,0.0,Heaton,0
0,0,0,None,None,0,37339,None,,0,0,0,0,0.0,239,91,None,,0,2,1.1,0.0,0,Ahmed,0.0,0,0,0.0,258,92,29,False,0.0,250,92,0,,None,45,0,0,None,0,,37339.jpg,0.0,0,0,El Mohamady,0.5,False,None,a,2,7,0.0,176,67,0,1600,1600,2270,2270,0.0,0.0,El Mohamady,0
0,0,0,None,None,0,40564,None,,0,0,0,0,0.0,243,105,None,,0,3,0.5,0.0,0,Henri,0.0,0,0,0.0,262,106,30,False,0.0,254,102,0,,None,45,0,0,None,0,,40564.jpg,0.0,0,0,Lansbury,0.3,False,None,a,2,7,0.0,180,65,0,928,928,1424,1424,0.0,0.0,Lansbury,0
0,0,0,None,None,0,47390,None,,0,0,0,0,0.0,251,98,None,,0,2,1.1,0.0,0,Neil,0.0,0,0,0.0,270,99,31,False,0.0,262,99,0,,None,45,0,0,None,0,,47390.jpg,0.0,0,0,Taylor,0.4,False,None,a,2,7,0.0,189,75,0,1704,1704,2203,2203,0.0,0.0,Taylor,0
0,0,0,None,None,0,79852,None,,0,0,0,0,0.0,206,6,None,,0,1,0.5,0.0,0,Jed,0.0,0,0,0.0,225,22,32,False,0.0,217,22,0,,None,40,0,0,None,0,,79852.jpg,0.0,0,0,Steer,5.4,False,None,a,2,7,0.0,140,6,0,18279,18279,9017,9017,0.0,0.0,Steer,0
0,0,0,None,None,0,85242,1,,0,0,0,0,0.0,480,187,1,,0,3,1.6,0.0,0,Conor,0.0,0,0,0.0,481,186,33,False,0.0,478,185,0,,None,60,0,0,None,0,,85242.jpg,0.0,0,0,Hourihane,0.1,False,None,a,2,7,0.0,472,180,0,170,170,436,436,0.0,0.0,Hourihane,0
0,0,0,None,None,0,89274,None,,0,0,0,0,0.0,481,188,None,,0,3,1.6,0.0,0,José Ignacio,0.0,0,0,0.0,482,187,34,False,0.0,479,186,0,,None,60,0,0,None,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.1,False,None,a,2,7,0.0,473,181,0,293,293,734,734,0.0,0.0,Jota,0
0,0,0,None,None,0,98770,None,,0,0,0,0,0.0,208,7,None,,0,1,0.5,0.0,0,Ørjan,0.0,0,0,0.0,227,23,35,False,0.0,219,23,0,,None,40,0,0,None,0,,98770.jpg,0.0,0,0,Nyland,16.6,False,None,a,2,7,0.0,142,7,0,40339,40339,28662,28662,0.0,0.0,Nyland,0
