name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Matthew_Clarke_73,0,0,0,0,0.0,73,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,14,0,0,0,0,2,0,546,3,0,0.0,0,-118,47,165,45,False,0
Sam_Gallagher_316,0,0,0,0,0.0,316,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,4262,2,1,0.0,0,-360,457,817,45,True,0
Jack_Simpson_66,0,0,0,0,0.0,66,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,492423,2,1,0.0,0,-18777,13102,31879,40,False,0
Kyle_Walker-Peters_375,1,0,29,0,12.5,375,17,5,0,4.6,33.0,2020-09-20T11:00:00Z,90,17,0,0,0,0,2,0,702353,5,2,0.0,3,-69696,29779,99475,45,True,0
Gaëtan_Bong_41,0,0,0,0,0.0,41,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,9812,1,1,0.0,0,-956,181,1137,45,True,0
Callum_Wilson_506,0,0,-1,0,0.8,506,16,3,0,0.8,0.0,2020-09-20T13:00:00Z,90,3,0,0,0,0,2,0,985394,3,0,10.0,2,287580,372449,84869,65,True,0
Mohammed_Salisu_479,0,0,0,0,0.0,479,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,17,0,0,0,0,2,0,18707,5,2,0.0,0,-4712,336,5048,45,True,0
Henri_Lansbury_35,0,0,0,0,0.0,35,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,3,0,0,0,0,2,0,12889,2,1,0.0,0,-675,667,1342,45,True,0
Jose Luis_Mato Sanmartín_261,0,0,0,0,0.0,261,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,3462,1,3,0.0,0,-881,200,1081,50,False,0
Dominic_Calvert-Lewin_147,0,0,6,1,0.7,147,15,0,0,0.7,4.4,2019-08-17T14:00:00Z,71,18,0,0,0,0,2,0,111451,0,1,2.0,2,-3796,11975,15771,60,True,0
